,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_reduce_dim,param_reduce_dim__n_components,param_reduce_dim__k,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
0,9.028306770324708,3.88654870990787,0.36871302127838135,0.00701856517935094,PCA(),0.91,,"{'reduce_dim': PCA(), 'reduce_dim__n_components': 0.91}",0.2458057673854856,0.40373278559934017,0.2918532462470171,0.2979262519170501,0.27892259160397964,0.2852961023408765,0.29655855032739453,0.2911059996166379,0.32033752781188546,0.2822720118147724,0.299381083466444,0.039043117550048016,6,0.37269561387465333,0.37154516355242967,0.3377919329422184,0.3611462173648263,0.35462188614574813,0.33612162243700494,0.3239499769225697,0.3164107684072102,0.314383729258417,0.3154342454470578,0.34041011563521356,0.0219477167586649
1,8.859592318534851,3.828024121140374,0.3580132007598877,0.006322690548088442,PCA(),0.93,,"{'reduce_dim': PCA(), 'reduce_dim__n_components': 0.93}",0.2235475941042849,0.32281544564544895,0.2173116963286146,0.22102831579057394,0.19666900231768447,0.20615585289909955,0.23159047924181198,0.2375629302373369,0.2621800288284706,0.21652608131076928,0.2335387426704095,0.034247517718296164,9,0.3281915546979321,0.3218627004184447,0.27869772537468906,0.2843471573265229,0.26351133269198834,0.2582789475760755,0.25490888136569906,0.27086512181626116,0.25818616523637367,0.24969084474009637,0.2768540431244083,0.026168136466573032
2,9.16762797832489,3.903818294918374,0.3983803987503052,0.02701017741800626,PCA(),0.95,,"{'reduce_dim': PCA(), 'reduce_dim__n_components': 0.95}",0.22462896940552196,0.30887480923091154,0.21757497176795348,0.22831381490309874,0.20434178162763342,0.21200046018846813,0.2325351051865914,0.23923945481955508,0.2597987895466284,0.2170493533913961,0.23443575100677583,0.028879678271809726,8,0.3345724030617858,0.31429853983867684,0.2794832073783961,0.2923500457032646,0.27090357619308675,0.26285460632979574,0.2570619508003265,0.27255178760025517,0.25748120069033525,0.24895265270203604,0.2790509970297959,0.025937800916662496
3,9.280925226211547,4.012604154808489,0.38900370597839357,0.011180606461702672,PCA(),0.97,,"{'reduce_dim': PCA(), 'reduce_dim__n_components': 0.97}",0.22934503755447716,0.3522526058702952,0.2187337018879733,0.2280612720474765,0.20826861289018447,0.21352617683582212,0.2360216544937184,0.2408977351845026,0.26348065969396867,0.2227508514540215,0.241333830791244,0.039830171066165106,7,0.3492634734461274,0.34388408281329513,0.28097983031246576,0.29149310542947426,0.2747877935940312,0.2639417548065242,0.2591853092303949,0.27274227407074747,0.25948129843333895,0.25175471360772655,0.2847513635744126,0.0328263238294877
4,3.8019617557525636,1.6237458206424886,0.22272164821624757,0.008439527236735491,SelectKBest(k=20),,20,"{'reduce_dim': SelectKBest(k=20), 'reduce_dim__k': 20}",0.5083349068054919,0.5137752199953156,0.5030907211682727,0.5156749840051184,0.4782446903813553,0.5040043635589613,0.5039471080695673,0.4612568028548748,0.48945159069742333,0.4635617076062526,0.4941342095142634,0.01901413043158151,1,0.5248501425827853,0.5240328868957438,0.5220150143916321,0.5176178044278106,0.5111822046312862,0.5179489427134981,0.5079994652894609,0.4975202552671855,0.5095671411742184,0.48357520326477393,0.5116309060638395,0.012312710236323547
5,3.8850098609924317,1.6815939175682175,0.23182783126831055,0.004081348584168534,SelectKBest(k=20),,30,"{'reduce_dim': SelectKBest(k=20), 'reduce_dim__k': 30}",0.4473974298959576,0.46421626399528576,0.4588935646104896,0.4661270087818866,0.4338131292120809,0.4762763820866072,0.4432316567979872,0.4151632470728382,0.43578673914512456,0.4294705147406896,0.4470375936338947,0.018153904089473958,2,0.49845323099442174,0.49203315309117096,0.49013294626068027,0.4797040327580686,0.47530259289668136,0.4963592348947894,0.4566120179113101,0.45362886130046415,0.4560279557367502,0.4504003072311328,0.47486543330754694,0.01818617753483527
6,3.918445110321045,1.638346713638813,0.24564700126647948,0.005150355141004176,SelectKBest(k=20),,40,"{'reduce_dim': SelectKBest(k=20), 'reduce_dim__k': 40}",0.4277790834312573,0.4485022133284822,0.4316442637843164,0.4489861676908559,0.4099183780310782,0.44204466889109334,0.43010902991333516,0.39912014685784064,0.4235750398227024,0.40850974638440585,0.4270188738135367,0.0162068051231081,4,0.4771599887493927,0.4791875268201974,0.47069906767040703,0.4646669998977904,0.4490258870545421,0.4681310432775348,0.44187989817079437,0.43216960633679286,0.4416311491023382,0.42776467719454786,0.45523158442743383,0.017992898896045037
7,4.086119747161865,1.8028871734627498,0.2663791418075562,0.008668132989428026,SelectKBest(k=20),,50,"{'reduce_dim': SelectKBest(k=20), 'reduce_dim__k': 50}",0.47648557362033434,0.4754315492346108,0.41953873856872137,0.4489483513455592,0.42407582351210293,0.4313344303700586,0.4383268169889133,0.4024602305661107,0.4253781718879445,0.4115849011191785,0.4353564587213534,0.023731043476383027,3,0.5147373846616792,0.49882605914962064,0.45875006540963875,0.4657985645291119,0.46172730513111643,0.45659338002360234,0.44941990191101877,0.4348858350176983,0.44398337791844994,0.4318656724625249,0.4616587546214461,0.025132918924642783
8,3.4978585243225098,1.4833449285907767,0.3976235628128052,0.04343740218136843,passthrough,,,{'reduce_dim': 'passthrough'},0.32134662334563213,0.3453300047086416,0.27412655753725873,0.3306476007149732,0.3009657660366014,0.3077349239619209,0.3023657090055348,0.278363625692094,0.2878991580613481,0.269727941539525,0.30185079106035295,0.023837497264175254,5,0.37187107951490533,0.35664578707056876,0.34013605442176875,0.36196536226040266,0.3531283568496145,0.3495116887718144,0.32633433822129326,0.3162618880132264,0.3115125376563143,0.30940511221234196,0.339677220499225,0.021295442328232866
