,Unnamed: 0,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__eta,param_clf__max_depth,param_clf__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
0,5,33.42397737503052,10.217344672920502,0.7959686915079752,0.03043162629766105,0.01,5,60,"{'clf__eta': 0.01, 'clf__max_depth': 5, 'clf__n_estimators': 60}",0.5108050000000001,0.5130399999999999,0.5146324999999999,0.5128258333333334,0.0015698916275406882,1,0.5439741005642329,0.5324933660300472,0.5279645349554892,0.5348106671832564,0.006738148173950356
8,2,33.42741322517395,10.372997960407574,0.8199671904246012,0.02942805085747016,0.01,5,60,"{'clf__eta': 0.01, 'clf__max_depth': 5, 'clf__n_estimators': 60}",0.5108050000000001,0.5130399999999999,0.5146324999999999,0.5128258333333334,0.0015698916275406882,1,0.5439741005642329,0.5324933660300472,0.5279645349554892,0.5348106671832564,0.006738148173950356
17,7,32.83731865882873,9.928133030353964,0.7776072820027671,0.03629875527118271,0.01,5,60,"{'clf__eta': 0.01, 'clf__max_depth': 5, 'clf__n_estimators': 60}",0.5108050000000001,0.5130399999999999,0.5146324999999999,0.5128258333333334,0.0015698916275406882,1,0.5439741005642329,0.5324933660300472,0.5279645349554892,0.5348106671832564,0.006738148173950356
9,1,47.437934954961136,14.002665073725288,0.9456361929575602,0.017080587277638372,0.005,5,100,"{'clf__eta': 0.005, 'clf__max_depth': 5, 'clf__n_estimators': 100}",0.510995,0.512915,0.514185,0.5126983333333333,0.0013112928310979662,2,0.5429595599387905,0.5311856988117241,0.5272568990908386,0.533800719280451,0.006671938172442666
18,2,47.25317764282226,14.395208509685116,0.9417218367258708,0.06259342762871603,0.005,5,100,"{'clf__eta': 0.005, 'clf__max_depth': 5, 'clf__n_estimators': 100}",0.510995,0.512915,0.514185,0.5126983333333333,0.0013112928310979662,2,0.5429595599387905,0.5311856988117241,0.5272568990908386,0.533800719280451,0.006671938172442666
19,8,48.830925067265824,11.760479685423087,0.9226893583933512,0.0425664924639892,0.01,5,100,"{'clf__eta': 0.01, 'clf__max_depth': 5, 'clf__n_estimators': 100}",0.5087475,0.5137375,0.5147675,0.5124175000000001,0.0026289288059334463,3,0.5486120005662553,0.5351056804500227,0.531452476438453,0.5383900524849103,0.007380272886590806
10,3,49.01773564020792,16.280679567292065,0.9852375984191896,0.05579652555347568,0.01,5,100,"{'clf__eta': 0.01, 'clf__max_depth': 5, 'clf__n_estimators': 100}",0.5087475,0.5137375,0.5147675,0.5124175000000001,0.0026289288059334463,3,0.5486120005662553,0.5351056804500227,0.531452476438453,0.5383900524849103,0.007380272886590806
20,11,113.2627120812734,21.09448957792664,1.5108669598897295,0.10017126635474692,0.01,10,100,"{'clf__eta': 0.01, 'clf__max_depth': 10, 'clf__n_estimators': 100}",0.5100075,0.5132375,0.51351,0.5122516666666667,0.0015907602130917349,4,0.6423407238629393,0.6031617561195605,0.5868949569820551,0.6107991456548515,0.023270948346778796
1,1,33.077032725016274,10.021892190029284,0.8333484331766764,0.031370079275126486,0.005,5,60,"{'clf__eta': 0.005, 'clf__max_depth': 5, 'clf__n_estimators': 60}",0.5114850000000001,0.511885,0.513165,0.5121783333333333,0.0007165348716023657,2,0.5404569140438039,0.5284888239249748,0.5265672053120057,0.5318376477602614,0.006145023350830922
11,0,33.32944838205973,10.060505378771722,0.8122656345367432,0.01896928444226048,0.005,5,60,"{'clf__eta': 0.005, 'clf__max_depth': 5, 'clf__n_estimators': 60}",0.5114850000000001,0.511885,0.513165,0.5121783333333333,0.0007165348716023657,4,0.5404569140438039,0.5284888239249748,0.5265672053120057,0.5318376477602614,0.006145023350830922
21,1,34.089732567469284,10.601894904111331,0.7850097020467123,0.03666824733788144,0.005,5,60,"{'clf__eta': 0.005, 'clf__max_depth': 5, 'clf__n_estimators': 60}",0.5114850000000001,0.511885,0.513165,0.5121783333333333,0.0007165348716023657,5,0.5404569140438039,0.5284888239249748,0.5265672053120057,0.5318376477602614,0.006145023350830922
2,4,23.259745200475052,7.335896023628436,0.6998217105865479,0.028606005925782742,0.01,5,30,"{'clf__eta': 0.01, 'clf__max_depth': 5, 'clf__n_estimators': 30}",0.5114350000000001,0.5116850000000001,0.5130225,0.5120475,0.0006969427283979094,3,0.5404147819580297,0.5287797521975655,0.5262392239832578,0.531811252712951,0.0061713913885020994
22,6,22.90540051460266,7.0889837026182665,0.6788347562154134,0.04279910622836902,0.01,5,30,"{'clf__eta': 0.01, 'clf__max_depth': 5, 'clf__n_estimators': 30}",0.5114350000000001,0.5116850000000001,0.5130225,0.5120475,0.0006969427283979094,6,0.5404147819580297,0.5287797521975655,0.5262392239832578,0.531811252712951,0.0061713913885020994
23,10,72.29160078366597,14.016509086208858,1.1108511288960774,0.04390406710986605,0.01,10,60,"{'clf__eta': 0.01, 'clf__max_depth': 10, 'clf__n_estimators': 60}",0.5100325,0.513335,0.512545,0.5119708333333334,0.0014080428694546985,7,0.6232650007078191,0.5851423233189581,0.5710068811487529,0.5931380683918434,0.022070745636329582
15,0,342.88946636517835,49.0622093653129,3.1370453834533687,0.1401842201146753,0.01,14,100,"{'clf__eta': 0.01, 'clf__max_depth': 14, 'clf__n_estimators': 100}",0.5111975000000001,0.5122225,0.5119100000000001,0.5117766666666667,0.000428944117054392,1,0.7705975340932838,0.7187388007715136,0.6900676919013731,0.7264680089220569,0.03332735977980983
24,3,42.17116673787435,9.861890268999039,0.8414873282114664,0.04279044613990565,0.005,10,30,"{'clf__eta': 0.005, 'clf__max_depth': 10, 'clf__n_estimators': 30}",0.5114725,0.5128975,0.510865,0.511745,0.0008518435889293277,8,0.5934826719157628,0.5627307796072367,0.5541327082789089,0.5701153866006362,0.016891895983787625
25,5,109.48839028676349,21.08761650398489,1.5352483590443928,0.08778122399345051,0.005,10,100,"{'clf__eta': 0.005, 'clf__max_depth': 10, 'clf__n_estimators': 100}",0.5107075,0.5122825,0.5121725,0.5117208333333334,0.0007179407279775268,9,0.6166704866424435,0.5822149204930278,0.5672289955589749,0.5887048008981487,0.020699503551112143
26,9,42.77227091789245,9.491443663310974,0.8479377428690592,0.04527988631756486,0.01,10,30,"{'clf__eta': 0.01, 'clf__max_depth': 10, 'clf__n_estimators': 30}",0.5111925,0.5125675000000001,0.5113025,0.5116875,0.0006238723159963303,10,0.6003164962283357,0.5741454359494731,0.5605071725282265,0.5783230349020118,0.016518369837269238
27,4,71.21613295873006,16.974540960361548,1.1171438694000244,0.03475024118571283,0.005,10,60,"{'clf__eta': 0.005, 'clf__max_depth': 10, 'clf__n_estimators': 60}",0.51132,0.511875,0.51157,0.5115883333333332,0.00022694835437947242,11,0.6004176132341937,0.5739038346158337,0.5607181714574428,0.5783465397691567,0.01650887925038989
28,0,24.975497722625732,7.875697383481065,0.7696032524108887,0.16293096757350126,0.005,5,30,"{'clf__eta': 0.005, 'clf__max_depth': 5, 'clf__n_estimators': 30}",0.5105725,0.5111100000000001,0.5124525,0.5113783333333333,0.0007906124559830537,12,0.5375717088099876,0.527602952368297,0.5248749077776789,0.5300165229853212,0.005457177625600426
3,0,23.037502209345497,7.2300184915294405,0.6866398652394613,0.035612205374383275,0.005,5,30,"{'clf__eta': 0.005, 'clf__max_depth': 5, 'clf__n_estimators': 30}",0.5105725,0.5111100000000001,0.5124525,0.5113783333333333,0.0007906124559830537,4,0.5375717088099876,0.527602952368297,0.5248749077776789,0.5300165229853212,0.005457177625600426
16,0,289.1461633046468,45.8639247706999,2.3413159847259517,0.014630325377028176,0.005,14,100,"{'clf__eta': 0.005, 'clf__max_depth': 14, 'clf__n_estimators': 100}",0.511315,0.5115149999999999,0.508505,0.5104449999999999,0.001374214927391892,1,0.7233590395232671,0.6779101887309085,0.6448536356407334,0.6820409546316363,0.032182521445497866
4,3,221.78678615887958,40.159883008176415,1.7900527318318684,0.14516068030765958,0.005,15,60,"{'clf__eta': 0.005, 'clf__max_depth': 15, 'clf__n_estimators': 60}",0.511185,0.5107875,0.5079375,0.50997,0.0014463272451281269,5,0.7250443229542345,0.6742338217706961,0.649922633725954,0.6830669261502949,0.03129786838176312
5,6,123.24906015396118,22.728710046725453,1.1508096059163408,0.08242794552667021,0.01,15,30,"{'clf__eta': 0.01, 'clf__max_depth': 15, 'clf__n_estimators': 30}",0.5106775,0.511075,0.5078825,0.5098783333333333,0.0014205666905225405,6,0.7246617636154048,0.6736398851588328,0.650937438099804,0.6830796956246804,0.03082911566907614
6,7,232.06358083089196,38.46445175335192,1.7836650212605794,0.11848471286130795,0.01,15,60,"{'clf__eta': 0.01, 'clf__max_depth': 15, 'clf__n_estimators': 60}",0.511605,0.510185,0.5076725000000001,0.5098208333333333,0.0016259565560685302,7,0.7680898323480043,0.7197223195338704,0.6832920426131714,0.7237013981650154,0.03473270395504174
7,2,122.94293729464215,22.153108254370235,1.1263600985209148,0.062241646195341525,0.005,15,30,"{'clf__eta': 0.005, 'clf__max_depth': 15, 'clf__n_estimators': 30}",0.5107275,0.5109675,0.506855,0.5095166666666667,0.001884631189973821,8,0.6982769662201789,0.6527776099990739,0.6314810402390747,0.6608452054861091,0.027859630347214
12,5,41.66596285502116,12.181965972770493,0.9554118315378824,0.013533021266325709,0.5,5,100,"{'clf__eta': 0.5, 'clf__max_depth': 5, 'clf__n_estimators': 100}",0.510275,0.5092075,0.5074225,0.5089683333333334,0.001176743977630192,5,0.6408576744436879,0.6021631372738511,0.5902659160654872,0.6110955759276754,0.021598192041276845
29,14,40.663000901540116,11.918442784157381,0.9239064852396648,0.038543948055547034,0.5,5,100,"{'clf__eta': 0.5, 'clf__max_depth': 5, 'clf__n_estimators': 100}",0.510275,0.5092075,0.5074225,0.5089683333333334,0.001176743977630192,13,0.6408576744436879,0.6021631372738511,0.5902659160654872,0.6110955759276754,0.021598192041276845
30,12,21.764987786610924,6.878510694958063,0.6845075289408366,0.03624815385612151,0.5,5,30,"{'clf__eta': 0.5, 'clf__max_depth': 5, 'clf__n_estimators': 30}",0.5087275,0.5073825,0.5099775,0.5086958333333332,0.0010596409245064583,14,0.5847882946954018,0.5618026278171722,0.5573328587053565,0.5679745937393103,0.012028303118309288
31,15,41.872611284255974,9.857952748253512,0.855351448059082,0.08163808814004803,0.5,10,30,"{'clf__eta': 0.5, 'clf__max_depth': 10, 'clf__n_estimators': 30}",0.5091275,0.5094274999999999,0.5072300000000001,0.508595,0.0009729401317655881,15,0.7380344876401314,0.6837911678605799,0.6631897296630046,0.6950051283879053,0.031567379071809544
13,4,30.32277218500773,9.142304366114116,0.8180692990620931,0.017889577434224323,0.5,5,60,"{'clf__eta': 0.5, 'clf__max_depth': 5, 'clf__n_estimators': 60}",0.50958,0.50732,0.50756,0.5081533333333333,0.0010135526078546289,6,0.614523435551391,0.5851473566800756,0.5756545990589735,0.5917751304301467,0.016545737643074317
32,13,29.692146380742393,9.002059925281012,0.8382768630981445,0.05682660279737825,0.5,5,60,"{'clf__eta': 0.5, 'clf__max_depth': 5, 'clf__n_estimators': 60}",0.50958,0.50732,0.50756,0.5081533333333333,0.0010135526078546289,16,0.614523435551391,0.5851473566800756,0.5756545990589735,0.5917751304301467,0.016545737643074317
33,17,95.30679281552631,17.505905451515613,1.441143035888672,0.052207641394467305,0.5,10,100,"{'clf__eta': 0.5, 'clf__max_depth': 10, 'clf__n_estimators': 100}",0.5079,0.50689,0.5089100000000001,0.5079,0.0008246615467370121,17,0.8794516761829004,0.8186500122814011,0.7739404839482923,0.8240140574708645,0.043241435817111526
34,16,63.03005782763164,12.860069941866785,1.0932480494181316,0.03375013457014365,0.5,10,60,"{'clf__eta': 0.5, 'clf__max_depth': 10, 'clf__n_estimators': 60}",0.5071175,0.5078575,0.508075,0.5076833333333334,0.00040983906055373217,18,0.813575632149815,0.7523908465308062,0.7237866126203196,0.7632510304336471,0.03745196659562455
14,0,294.0339725812276,58.15192143337426,3.0080476601918535,0.09896268942195552,0.5,14,100,"{'clf__eta': 0.5, 'clf__max_depth': 14, 'clf__n_estimators': 100}",0.5052399999999999,0.507825,0.5083825,0.5071491666666667,0.0013690360558517615,1,0.9994371153340568,0.9913748323890748,0.9796378856471926,0.9901499444567748,0.00812927372251351
